,역명,좌표,행정구,지하철합계
95,보라매,"(37.499910050321, 126.920489390309)",동작구,61478
96,보문,"(37.5853277238848, 127.019386983515)",성북구,36823
97,복정,"(37.4710560005054, 127.126771228018)",송파구,58828
98,봉천,"(37.4825562153548, 126.941495272047)",관악구,203558
99,봉화산(서울의료원),"(37.6176537624438, 127.090758129505)",중랑구,61933
100,불광,"(37.6102072578868, 126.92998576213)",은평구,204448
101,사가정,"(37.5807945533834, 127.088439058456)",중랑구,132287
102,사당,"(37.4768632653727, 126.981595139341)",동작구,293060
103,산성,"(37.456524575777, 127.149943523317)",성남시,35597
104,삼각지,"(37.5345937063675, 126.973011032988)",용산구,59361
105,삼성(무역센터),"(37.5088619974404, 127.063073009788)",강남구,150178
106,상계,"(37.6609038887184, 127.073575379339)",노원구,177297
107,상도,"(37.5032080456431, 126.947700373641)",동작구,64714
108,상봉(시외버스터미널),"(37.5967093285386, 127.085741817289)",중랑구,105711
109,상수,"(37.5477716665856, 126.922409857908)",마포구,25813
110,상왕십리,"(37.5644687111181, 127.029031221392)",성동구,96295
111,상월곡(한국과학기술연구원),"(37.6062641394281, 127.048326622029)",성북구,53551
112,상일동,"(37.5566643781876, 127.165829221931)",강동구,93810
113,새절(신사),"(37.5918270544017, 126.913911983591)",은평구,105775
114,서대문,"(37.565856271913, 126.966637398787)",종로구,88620
115,서울,"(37.5571594835988, 126.972554606456)",중구,303471
116,서울대입구(관악구청),"(37.4811526631844, 126.952645104944)",관악구,229660
117,서초,"(37.4918229990093, 127.007580814715)",서초구,80831
118,석계,"(37.6150480846952, 127.066118430844)",노원구,98246
119,석촌,"(37.5059496431187, 127.106345349428)",송파구,58695
120,선릉,"(37.5045028775835, 127.048942471228)",강남구,229485
121,성수,"(37.5445023983984, 127.056090471223)",성동구,231519
122,성신여대입구(돈암),"(37.5927179261346, 127.016477649743)",성북구,107367
123,송정,"(37.5614775483136, 126.811055407613)",강서구,60954
124,송파,"(37.4996866748478, 127.112179893361)",송파구,48808
125,수락산,"(37.6776259369995, 127.055374584266)",노원구,114078
126,수서,"(37.4873889933503, 127.101859191018)",강남구,173942
127,수유(강북구청),"(37.6377452337445, 127.025356901379)",강북구,283689
128,수진,"(37.4374594671775, 127.1403519473)",성남시,65407
129,숙대입구(갈월),"(37.5451939759064, 126.971872351838)",용산구,81079
130,숭실대입구(살피재),"(37.4958143308836, 126.954060246067)",동작구,64166
131,시청,"(37.5654385176408, 126.976983237511)",중구,194359
132,신금호,"(37.5545324884294, 127.020064146247)",성동구,51760
133,신길,"(37.5176677017212, 126.914336937521)",영등포구,19192
134,신답,"(37.5699910562183, 127.046820203556)",성동구,12506
135,신당,"(37.5662738884121, 127.016153533586)",중구,169393
136,신대방,"(37.4875759745635, 126.913175585996)",동작구,181060
137,신대방삼거리,"(37.4997218266711, 126.928222967016)",동작구,114381
138,신도림,"(37.5087701449787, 126.891080501385)",구로구,274771
139,신림,"(37.4842176141092, 126.92980331103)",관악구,342077
140,신사,"(37.5164324582415, 127.020326886309)",강남구,89276
141,신설동,"(37.5747187974165, 127.025093714935)",동대문구,195598
142,신용산,"(37.5296155628471, 126.968215931799)",용산구,82441
143,신정(은행정),"(37.5252107928783, 126.857290392028)",양천구,92177
144,신정네거리,"(37.5197975266787, 126.852991645059)",양천구,90366
145,신풍,"(37.5001172036762, 126.909841656125)",영등포구,86347
146,신흥,"(37.4411840785188, 127.148107604929)",성남시,58706
147,쌍문,"(37.6488498649136, 127.034880717215)",도봉구,199998
148,아차산(어린이대공원후문),"(37.5524011361136, 127.08937059931)",광진구,124254
149,아현,"(37.5573575723061, 126.95603374504)",마포구,81920
150,안국,"(37.5767203705556, 126.985823042976)",종로구,91566
151,안암(고대병원앞),"(37.5862804833256, 127.029213030111)",성북구,53185
152,암사,"(37.5501403417224, 127.127540246626)",강동구,131162
153,압구정,"(37.5264308236177, 127.028480919224)",강남구,112021
154,애오개,"(37.5533624029594, 126.95661326016)",마포구,48498
155,약수,"(37.5538914380831, 127.010120543543)",중구,119005
156,양재(서초구청),"(37.4839347328908, 127.034544193436)",서초구,160313
157,양천구청,"(37.5126989358446, 126.866065211751)",양천구,55736
158,양평,"(37.5255116853806, 126.886865676125)",영등포구,44440
159,어린이대공원(세종대),"(37.547871203305, 127.074549925093)",광진구,69716
160,여의나루,"(37.5270851610199, 126.932863954929)",영등포구,48741
161,여의도,"(37.5218423045786, 126.924484687694)",영등포구,89019
162,역삼,"(37.5007162693593, 127.036618203089)",강남구,208019
163,역촌,"(37.6060390534435, 126.922967946327)",은평구,41693
164,연신내,"(37.618962003178, 126.921162124977)",은평구,306312
165,영등포구청,"(37.5256996614804, 126.896626898379)",영등포구,192604
166,영등포시장,"(37.5227345248969, 126.904959169819)",영등포구,84498
167,오금,"(37.5022659793733, 127.127879247544)",송파구,57897
168,오목교(목동운동장앞),"(37.5244500703802, 126.875354626254)",양천구,110820
169,옥수,"(37.5409877747326, 127.018965435917)",성동구,49412
170,온수(성공회대입구),"(37.4921502838112, 126.823380714316)",구로구,63859
171,올림픽공원(한국체대),"(37.5160876492782, 127.130600140827)",송파구,27762
172,왕십리(성동구청),"(37.5612217415191, 127.036655378283)",성동구,118658
173,용답,"(37.5620049052662, 127.050729309179)",성동구,22480
174,용두(동대문구청),"(37.5739380503267, 127.038031119837)",동대문구,28352
175,용마산(용마폭포공원),"(37.5740302107904, 127.087038114766)",중랑구,60898
176,우장산,"(37.5490001953873, 126.836408931785)",강서구,96074
177,월곡(동덕여대),"(37.6014210523409, 127.041184766468)",성북구,89041
178,월드컵경기장(성산),"(37.569942569034, 126.899033325814)",마포구,54310
179,을지로3가,"(37.56626594615, 126.990308356253)",중구,150962
180,을지로4가,"(37.5666369941572, 126.997852780281)",중구,128755
