기관명,주소,병원분류명,병원경도,병원위도
한림대학교한강성심병원,서울특별시 영등포구 버드나루로7길 12 (영등포동7가 한강성심병원),종합병원,126.9103300012059,37.52346674579277
한양대학교병원,서울특별시 성동구 왕십리로 222-1 (사근동),종합병원,127.0448828406198,37.55994453356475
혜민병원,서울특별시 광진구 자양로 85 (자양동),종합병원,127.083601302585,37.53531566018042
홍익병원,서울특별시 양천구 목동로 225 홍익병원본관 (신정동),종합병원,126.8636640030062,37.52844147447355
강남구보건소,서울특별시 강남구 선릉로 668 강남구보건소 (삼성동),보건소,127.0422775693984,37.51630311339761
강동구보건소,서울특별시 강동구 성내로 45 (성내동),보건소,127.1255487792341,37.52926320933076
강북구보건소,서울특별시 강북구 한천로 897 (번동 강북보건소번2동주민센터),보건소,127.0388447467356,37.63214337997896
관악구보건분소,서울특별시 관악구 난곡로 162 난곡보건분소 (신림동),보건소,126.9203268444,37.4694927137
관악구보건소,서울특별시 관악구 관악로 145  (봉천동),보건소,126.9511276299299,37.47853037138971
광진구보건소,서울특별시 광진구 자양로 117 (자양동),보건소,127.0824978693932,37.53811493772281
광진구자양보건지소,서울특별시 광진구 아차산로24길 17  (자양동),보건소,127.06510934187,37.5402634327717
광진구중곡보건지소,서울특별시 광진구 긴고랑로 110  (중곡동),보건소,127.087091192357,37.5593377255761
구로구G밸리보건지소,서울특별시 구로구 디지털로 243 지하이시티 211212호 (구로동),보건소,126.8923464571647,37.48198735808788
구로구보건소,서울특별시 구로구 구로중앙로28길 66 (구로동 구로5동 주민센터 구로구보건소),보건소,126.889364601049,37.5001092837881
구로구오류보건지소,서울특별시 구로구 오리로10길 44-3 1~3층 (오류동),보건소,126.8393372829,37.4887928445
구산보건지소,서울특별시 은평구 연서로13길 29-7 (구산동),보건소,126.9127841581392,37.60973701537102
금천구보건소,서울특별시 금천구 시흥대로73길 70 (시흥동금천구보건소),보건소,126.8950230637615,37.45664253298437
노원구보건소,서울특별시 노원구 노해로 437 (상계동),보건소,127.0570233420929,37.65457770735563
노원구보건지소,서울특별시 노원구 월계로 378 (월계동),보건소,127.0615926955183,37.63144894998185
도봉구보건소,서울특별시 도봉구 방학로3길 117 (쌍문동),보건소,127.0388128946827,37.65802325255334
동대문구보건소,서울특별시 동대문구 천호대로 145 (용두동),보건소,127.0402548147166,37.57468135062168
마포구보건소,서울특별시 마포구 월드컵로 212 (성산동 마포구보건소),보건소,126.9018692987165,37.56693851924408
서대문구가좌보건지소,서울특별시 서대문구 수색로 100-55 (북가좌동),보건소,126.910135743433,37.57436929991179
서대문구보건소,서울특별시 서대문구 연희로 242  (연희동),보건소,126.9362817514813,37.57867143254897
서울특별시강서구보건소,서울특별시 강서구 공항대로 561 (염창동 강서보건소),보건소,126.868280970698,37.54964993608145
서울특별시동작구보건소,서울특별시 동작구 장승배기로10길 42 (상도동),보건소,126.9411900291042,37.50432348532575
서울특별시송파구보건소,서울특별시 송파구 올림픽로 326  (신천동),보건소,127.105859984389,37.514477182474
서울특별시중구보건소,서울특별시 중구 다산로39길 16 (무학동),보건소,127.0151127701593,37.56457086900509
서울특별시중랑구보건소,서울특별시 중랑구 봉화산로 179 (신내동),보건소,127.09285571438,37.60687654865813
서초구방배보건지소,서울특별시 서초구 방배로 173 (방배동 방배열린문화센터(방배4동주민센터)),보건소,126.9920371044478,37.48908344512245
서초구보건소,서울특별시 서초구 남부순환로 2584 (서초동),보건소,127.033575786299,37.48363181533362
서초보건지소,서울특별시 서초구 서초대로38길 12 101동 1층 (서초동 마제스타시티 힐스테이트 서리풀),보건소,127.005381592272,37.4904950346372
성동구보건소,서울특별시 성동구 마장로23길 10  (홍익동),보건소,127.033214753272,37.5670791452692
성북구보건소,서울특별시 성북구 화랑로 63 (하월곡동),보건소,127.039581333798,37.60261595135901
송파구보건지소,서울특별시 송파구 양산로 5 (거여동 송파구 보건지소),보건소,127.1426724621354,37.48977100687237
양천구보건소,서울특별시 양천구 목동서로 339 (신정동),보건소,126.8658896291672,37.51753558562569
영등포구보건소,서울특별시 영등포구 당산로 123  (당산동3가),보건소,126.8963695056,37.5259636096
용산구보건소,서울특별시 용산구 녹사평대로 150 (이태원동 용산구종합행정타운),보건소,126.9662627064971,37.53861736581427
은평구보건소,서울특별시 은평구 은평로 195 (녹번동),보건소,126.9288235089802,37.60252183878917
응암보건지소,서울특별시 은평구 가좌로 195 (응암동),보건소,126.9195077383891,37.58803512317212
종로구보건소,서울특별시 종로구 자하문로19길 36 (옥인동),보건소,126.9692784626484,37.58183450604867
